PLAYER_NAME,TEAM,SALARY,SALARY_M
Kevin Porter Jr. ,Milwaukee Bucks,5134000,5.13
Marcus Smart ,Los Angeles Lakers,5134000,5.13
Nick Richards ,Chicago Bulls,5000000,5.0
Andre Drummond ,Philadelphia 76ers,5000000,5.0
Moritz Wagner ,Orlando Magic,5000000,5.0
Gradey Dick ,Toronto Raptors,4990560,4.99
Malaki Branham ,Washington Wizards,4962033,4.96
Devin Carter ,Sacramento Kings,4923720,4.92
Christian Braun ,Denver Nuggets,4921797,4.92
Carter Bryant ,San Antonio Spurs,4900320,4.9
Walker Kessler ,Utah Jazz,4878938,4.88
Jordan Hawkins ,New Orleans Pelicans,4741320,4.74
Blake Wesley ,Portland Trail Blazers,4726328,4.73
Bub Carrington ,Washington Wizards,4677600,4.68
Thomas Sorber ,Oklahoma City Thunder,4655040,4.66
Kobe Bufkin ,Los Angeles Lakers,4503720,4.5
Jose Alvarado ,New York Knicks,4500000,4.5
Nikola Jovic ,Miami Heat,4445417,4.45
Kel'el Ware ,Miami Heat,4443360,4.44
Yang Hansen ,Portland Trail Blazers,4422360,4.42
Peyton Watson ,Denver Nuggets,4356476,4.36
Miles McBride ,New York Knicks,4333333,4.33
Keyonte George ,Utah Jazz,4278960,4.28
Jared McCain ,Oklahoma City Thunder,4221360,4.22
Joan Beringer ,Minnesota Timberwolves,4201080,4.2
Kevin Love ,Utah Jazz,4150000,4.15
Dalton Knecht ,Los Angeles Lakers,4010160,4.01
Ryan Rollins ,Milwaukee Bucks,4000000,4.0
Dwight Powell ,Dallas Mavericks,4000000,4.0
Walter Clayton Jr. ,Memphis Grizzlies,3991320,3.99
Jaime Jaquez Jr. ,Miami Heat,3861600,3.86
Nolan Traore ,Brooklyn Nets,3811560,3.81
Tristan da Silva ,Orlando Magic,3809520,3.81
Gary Trent Jr. ,Milwaukee Bucks,3697105,3.7
Brandin Podziemski ,Golden State Warriors,3687960,3.69
Svi Mykhailiuk ,Utah Jazz,3675000,3.68
Kasparas Jakucionis ,Miami Heat,3658800,3.66
Ja'Kobe Walter ,Toronto Raptors,3638160,3.64
Gary Harris ,Milwaukee Bucks,3634153,3.63
Cam Whitmore ,Washington Wizards,3539760,3.54
Will Riley ,Washington Wizards,3512520,3.51
Jaylon Tyson ,Cleveland Cavaliers,3492480,3.49
Eric Gordon ,Philadelphia 76ers,3468960,3.47
Jaxson Hayes ,Los Angeles Lakers,3449324,3.45
Noah Clowney ,Brooklyn Nets,3398640,3.4
Drake Powell ,Brooklyn Nets,3372240,3.37
Yves Missi ,New Orleans Pelicans,3353040,3.35
Taurean Prince ,Milwaukee Bucks,3303774,3.3
Dariq Whitehead ,Oklahoma City Thunder,3262560,3.26
Asa Newell ,Atlanta Hawks,3237480,3.24
DaRon Holmes II ,Denver Nuggets,3218760,3.22
Kris Murray ,Portland Trail Blazers,3132000,3.13
Nique Clifford ,Sacramento Kings,3108120,3.11
AJ Johnson ,Dallas Mavericks,3090480,3.09
De'Anthony Melton ,Golden State Warriors,3080921,3.08
Olivier-Maxence Prosper ,Memphis Grizzlies,3007080,3.01
Kyle Filipowski ,Utah Jazz,3000000,3.0
Ajay Mitchell ,Oklahoma City Thunder,3000000,3.0
Julian Champagnie ,San Antonio Spurs,3000000,3.0
"Shake Milton , SG",Los Angeles Lakers,3000000,3.0
Jase Richardson ,Orlando Magic,2983320,2.98
Kyshawn George ,Washington Wizards,2966760,2.97
Marcus Sasser ,Detroit Pistons,2886720,2.89
Ben Saraf ,Brooklyn Nets,2884560,2.88
Pacome Dadiet ,New York Knicks,2847600,2.85
Danny Wolf ,Brooklyn Nets,2801280,2.8
Ben Sheppard ,Indiana Pacers,2790720,2.79
Hugo Gonzalez ,Boston Celtics,2783880,2.78
Liam McNeeley ,Charlotte Hornets,2763960,2.76
Dillon Jones ,New York Knicks,2753280,2.75
Yanic Konan Niederhauser ,LA Clippers,2743800,2.74
"DaQuan Jeffries , SG",Charlotte Hornets,2743776,2.74
Nick Smith Jr. ,Los Angeles Lakers,2710680,2.71
Brice Sensabaugh ,Utah Jazz,2693760,2.69
Julian Strawther ,Denver Nuggets,2674200,2.67
Terrence Shannon Jr. ,Minnesota Timberwolves,2674080,2.67
James Wiseman ,Indiana Pacers,2667947,2.67
Ryan Dunn ,Phoenix Suns,2657760,2.66
Isaiah Collier ,Utah Jazz,2638200,2.64
Baylor Scheierman ,Boston Celtics,2619000,2.62
Xavier Tillman ,Boston Celtics,2546675,2.55
Anthony Gill ,Washington Wizards,2546675,2.55
Terence Davis ,Sacramento Kings,2546675,2.55
Cam Spencer ,Memphis Grizzlies,2537989,2.54
Sandro Mamukelashvili ,Toronto Raptors,2461463,2.46
Trendon Watford ,Philadelphia 76ers,2461463,2.46
Jericho Sims ,Milwaukee Bucks,2461463,2.46
Luka Garza ,Boston Celtics,2461463,2.46
Dru Smith ,Miami Heat,2378870,2.38
Josh Minott ,Boston Celtics,2378870,2.38
Vit Krejci ,Portland Trail Blazers,2349578,2.35
Jared Butler ,Phoenix Suns,2349578,2.35
Jordan Goodwin ,Phoenix Suns,2349578,2.35
Keon Johnson ,Brooklyn Nets,2349578,2.35
Jay Huff ,Indiana Pacers,2349578,2.35
Jaden Springer ,New Orleans Pelicans,2349578,2.35
Neemias Queta ,Boston Celtics,2349578,2.35
Justin Champagnie ,Washington Wizards,2349578,2.35
Keon Ellis ,Cleveland Cavaliers,2301587,2.3
AJ Green ,Milwaukee Bucks,2301587,2.3
Vince Williams Jr. ,Utah Jazz,2301587,2.3
Javonte Green ,Detroit Pistons,2296274,2.3
Bones Hyland ,Minnesota Timberwolves,2296274,2.3
Thanasis Antetokounmpo ,Milwaukee Bucks,2296274,2.3
Nigel Hayes-Davis ,Phoenix Suns,2296274,2.3
Chris Paul ,LA Clippers,2296274,2.3
Jae'Sean Tate ,Houston Rockets,2296274,2.3
Jeff Green ,Houston Rockets,2296274,2.3
Gary Payton II ,Golden State Warriors,2296274,2.3
Keaton Wallace ,Atlanta Hawks,2296274,2.3
Bruce Brown ,Denver Nuggets,2296274,2.3
Tim Hardaway Jr. ,Denver Nuggets,2296274,2.3
Marvin Bagley III ,Dallas Mavericks,2296274,2.3
Thomas Bryant ,Cleveland Cavaliers,2296274,2.3
Larry Nance Jr. ,Cleveland Cavaliers,2296274,2.3
Landry Shamet ,New York Knicks,2296274,2.3
Jock Landale ,Atlanta Hawks,2296274,2.3
Jordan Clarkson ,New York Knicks,2296274,2.3
Joe Ingles ,Minnesota Timberwolves,2296274,2.3
Kyle Lowry ,Philadelphia 76ers,2296274,2.3
Jordan McLaughlin ,San Antonio Spurs,2296274,2.3
"Spencer Dinwiddie , PG",Charlotte Hornets,2296274,2.3
Garrett Temple ,Toronto Raptors,2296274,2.3
Dante Exum ,Washington Wizards,2296274,2.3
Chris Boucher ,Boston Celtics,2296274,2.3
Mason Plumlee ,Charlotte Hornets,2296274,2.3
Lindy Waters III ,San Antonio Spurs,2296274,2.3
Bismack Biyombo ,San Antonio Spurs,2296274,2.3
Amir Coffey ,Milwaukee Bucks,2296274,2.3
Drew Eubanks ,Sacramento Kings,2296274,2.3
Doug McDermott ,Sacramento Kings,2296274,2.3
Russell Westbrook ,Sacramento Kings,2296274,2.3
Cole Anthony ,Milwaukee Bucks,2296274,2.3
Collin Gillespie ,Phoenix Suns,2296274,2.3
Sion James ,Charlotte Hornets,2296274,2.3
Ryan Kalkbrenner ,Charlotte Hornets,2296274,2.3
Maxwell Lewis ,Brooklyn Nets,2271677,2.27
Moussa Diabate ,Charlotte Hornets,2270735,2.27
Scotty Pippen Jr. ,Memphis Grizzlies,2270735,2.27
A.J. Lawson ,Toronto Raptors,2270735,2.27
Dominick Barlow ,Philadelphia 76ers,2270735,2.27
Nate Williams ,Los Angeles Lakers,2270735,2.27
JD Davison ,Houston Rockets,2270735,2.27
Brandon Williams ,Dallas Mavericks,2270735,2.27
DeAndre Jordan ,New Orleans Pelicans,2269880,2.27
Duop Reath ,Portland Trail Blazers,2221677,2.22
Gui Santos ,Golden State Warriors,2221677,2.22
Mouhamed Gueye ,Atlanta Hawks,2221677,2.22
Jordan Walsh ,Boston Celtics,2221677,2.22
Leonard Miller ,Chicago Bulls,2221677,2.22
Craig Porter Jr. ,Cleveland Cavaliers,2221677,2.22
Jalen Pickett ,Denver Nuggets,2221677,2.22
Colby Jones ,Detroit Pistons,2221677,2.22
Trayce Jackson-Davis ,Toronto Raptors,2221677,2.22
Andre Jackson Jr. ,Milwaukee Bucks,2221677,2.22
Toumani Camara ,Portland Trail Blazers,2221677,2.22
GG Jackson ,Memphis Grizzlies,2221677,2.22
Rayan Rupert ,Portland Trail Blazers,2221677,2.22
Julian Phillips ,Minnesota Timberwolves,2221677,2.22
Ricky Council IV ,Philadelphia 76ers,2221677,2.22
Jalen Wilson ,Brooklyn Nets,2221677,2.22
Hunter Tyson ,Denver Nuggets,2221677,2.22
Colin Castleton ,Orlando Magic,2191897,2.19
Tyler Kolek ,New York Knicks,2191897,2.19
Tyrese Martin ,Brooklyn Nets,2191897,2.19
Jaylen Clark ,Minnesota Timberwolves,2191897,2.19
Jordan Miller ,LA Clippers,2191897,2.19
Caleb Houstan ,Atlanta Hawks,2187451,2.19
"Precious Achiuwa , PF",Sacramento Kings,2111516,2.11
N'Faly Dante ,Atlanta Hawks,2048494,2.05
Justin Edwards ,Philadelphia 76ers,2048494,2.05
Keshad Johnson ,Miami Heat,1955377,1.96
Karlo Matkovic ,New Orleans Pelicans,1955377,1.96
Bobi Klintman ,Detroit Pistons,1955377,1.96
Isaac Jones ,Detroit Pistons,1955377,1.96
Tyler Smith ,Houston Rockets,1955377,1.96
Johnny Furphy ,Indiana Pacers,1955377,1.96
Cam Christie ,LA Clippers,1955377,1.96
Drew Timme ,Los Angeles Lakers,1955377,1.96
Bronny James ,Los Angeles Lakers,1955377,1.96
Pelle Larsson ,Miami Heat,1955377,1.96
Ariel Hukporti ,New York Knicks,1955377,1.96
Adem Bona ,Philadelphia 76ers,1955377,1.96
Oso Ighodaro ,Phoenix Suns,1955377,1.96
Jamison Battle ,Toronto Raptors,1955377,1.96
Jamal Shead ,Toronto Raptors,1955377,1.96
Jonathan Mogbo ,Toronto Raptors,1955377,1.96
Jaylen Wells ,Memphis Grizzlies,1955377,1.96
Antonio Reeves ,Charlotte Hornets,1955377,1.96
Quinten Post ,Golden State Warriors,1935377,1.94
Seth Curry ,Golden State Warriors,1755198,1.76
Micah Potter ,Indiana Pacers,1527805,1.53
Chaz Lanier ,Detroit Pistons,1372870,1.37
Micah Peavy ,New Orleans Pelicans,1272970,1.27
Maxime Raynaud ,Sacramento Kings,1272870,1.27
Rasheer Fleming ,Phoenix Suns,1272870,1.27
Johni Broome ,Philadelphia 76ers,1272870,1.27
Noah Penda ,Orlando Magic,1272870,1.27
Mohamed Diawara ,New York Knicks,1272870,1.27
Adou Thiero ,Los Angeles Lakers,1272870,1.27
Kam Jones ,Indiana Pacers,1272870,1.27
Will Richard ,Golden State Warriors,1272870,1.27
Tyrese Proctor ,Cleveland Cavaliers,1272870,1.27
Nikola Durisic ,Atlanta Hawks,1272870,1.27
